Database：Quarterly 
Time：4Q 2021-1Q 2026 
Indicators	,1Q 2026	,4Q 2025	,3Q 2025	,2Q 2025	,1Q 2025	,4Q 2024	,3Q 2024	,2Q 2024	,1Q 2024	,4Q 2023	,3Q 2023	,2Q 2023	,1Q 2023	,4Q 2022	,3Q 2022	,2Q 2022	,1Q 2022	,4Q 2021	,
Value-added of Hotels and Catering Services, Accumulated (100 million yuan) 	,6054.6	,26403.1	,18504.5	,11542.2	,5730.5	,24894.5	,17505.1	,10866.1	,5405.9	,23084.2	,16223.9	,10000.5	,4920.7	,19146.2	,13534.5	,8299.9	,4180.0	,19064.4	,
Value-added of Finance, Current Quarter (100 million yuan)	,27224.6	,24686.6	,26191.2	,25142.2	,25316.6	,23809.3	,24496.0	,24055.6	,24594.8	,22661.4	,23693.8	,23695.1	,23876.6	,21655.0	,22372.4	,21830.9	,22193.2	,21408.0	,
Value-added of Finance, Accumulated(100 million yuan)	,27224.6	,101336.6	,76650.0	,50458.8	,25316.6	,96955.7	,73146.4	,48650.4	,24594.8	,93926.9	,71265.5	,47571.7	,23876.6	,88051.5	,66396.5	,44024.1	,22193.2	,86409.2	,
Value-added of Real Estate, Current Quarter (100 million yuan) 	,20326.4	,21107.4	,19774.9	,20959.5	,21182.5	,22051.3	,20047.7	,21126.7	,20821.3	,21653.9	,20855.2	,22561.5	,22910.9	,22454.8	,21635.5	,21935.1	,21989.8	,23387.0	,
Value-added of Real Estate, Accumulated (100 million yuan) 	,20326.4	,83024.3	,61916.9	,42142.0	,21182.5	,84047.0	,61995.7	,41948.0	,20821.3	,87981.5	,66327.6	,45472.3	,22910.9	,88015.2	,65560.4	,43924.9	,21989.8	,90397.5	,
Value-added of Information Transmission, Software and Information Technology, Current Quarter (100 million yuan) 	,20444.0	,17390.8	,15769.1	,18908.4	,18530.5	,15831.3	,14228.9	,17043.8	,16853.6	,14410.8	,12966.8	,15419.9	,14700.8	,12811.8	,11727.2	,13341.2	,13156.0	,11446.0	,
Value-added of Information Transmission, Software and Information Technology, Accumulated (100 million yuan) 	,20444.0	,70598.9	,53208.0	,37439.0	,18530.5	,63957.6	,48126.3	,33897.4	,16853.6	,57498.4	,43087.5	,30120.7	,14700.8	,51036.3	,38224.4	,26497.2	,13156.0	,45506.6	,
Value-added of Leasing and Business Services, Current Quarter (100 million yuan) 	,16208.9	,19722.0	,15948.1	,13662.7	,14332.8	,17227.2	,14484.7	,12377.5	,12851.4	,15223.0	,12818.5	,11119.5	,11278.0	,13404.0	,11272.7	,9253.6	,10234.6	,12131.6	,
Value-added of Leasing and Business Services, Accumulated (100 million yuan) 	,16208.9	,63665.6	,43943.6	,27995.6	,14332.8	,56940.8	,39713.6	,25229.0	,12851.4	,50438.9	,35216.0	,22397.5	,11278.0	,44164.9	,30760.9	,19488.3	,10234.6	,40581.1	,
Value-added of Others, Current Quarter (100 million yuan) 	,64354.2	,65687.3	,62063.8	,57652.6	,61188.9	,61282.1	,58314.0	,54764.1	,58316.1	,58187.7	,55810.2	,52177.6	,55127.7	,55179.4	,52598.6	,48212.1	,51811.7	,50404.3	,
Value-added of Others, Accumulated (100 million yuan) 	,64354.2	,246592.7	,180905.4	,118841.6	,61188.9	,232676.4	,171394.2	,113080.2	,58316.1	,221303.2	,163115.5	,107305.4	,55127.7	,207801.9	,152622.5	,100023.8	,51811.7	,192899.1	,
Note：1. Data are calclulated at current prices. Accumulated data are obtained by adding together the data of current quarters.
2. According to the Three Industries Classification Regulations revised in 2018 by the NBS, the Three Industries are divided into primary industry, secondary industry and tertiary industry. Primary industry refers to agriculture, forestry, animal husbandry and fisheries (excluding services to agriculture, forestry, animal husbandry and fisheries); secondary industry refers to mining (excluding mining and support activities), manufacturing (excluding repair services of metal products, machinery and equipment), production and supply of electricity, heat, gas and water, and construction; tertiary industry is the service industry, and refers to all other industries not included in primary and secondary industries.
3. The industrial classification is based on the "Industrial Classification for National Economic Activities" (GB/T4754-2017).
4. For data before 2015, other service industries include 9 sectors, ie, information transmission, software and information technology services; leasing and business services; scientific research and technical services; management of water conservancy, environment and public facilities; resident services, repair and other services; education; health care and social services; culture, sports and entertainment; public management, social security and social organizations. For data since Q1-2015, other service industries include 7 sectors, ie, scientific research and technical services; management of water conservancy, environment and public facilities; resident services, repair and other services; education; health care and social services; culture, sports and entertainment; public management, social security and social organizations.
Data Sources：National Bureau of Statistics
